size,tile,naive_ms,tile_ms,tile_speedup,process_instructions,process_L1_loads,process_L1_misses,process_L1_MPKI
256,8,0.406,0.438,0.926941,131145776,27797119,261081,1.990769
256,16,0.406,0.376,1.079787,130069148,27314398,269725,2.073705
256,32,0.406,0.361,1.124654,129688233,27106090,301358,2.323711
256,48,0.406,0.414,0.980676,129561583,27057669,273574,2.111536
256,64,0.407,0.354,1.149718,129417532,26981838,284956,2.201835
256,80,0.406,0.422,0.962085,129418725,26992079,294100,2.272469
256,96,0.406,0.430,0.944186,129385220,26961427,291030,2.249330
256,128,0.406,0.375,1.082667,129246225,26916736,273350,2.114955
256,256,0.407,0.422,0.964455,129146790,26877012,260279,2.015373
256,512,0.406,0.373,1.088472,129224323,26896044,260104,2.012810
256,1024,0.406,0.373,1.088472,129288107,26908074,252987,1.956769
256,2048,0.406,0.373,1.088472,129200437,26890993,260367,2.015218
512,8,1.689,1.759,0.960205,515015181,108726613,986831,1.916120
512,16,1.672,1.524,1.097113,510552315,106771970,1119297,2.192326
512,32,1.692,1.516,1.116095,508768494,105884910,1215161,2.388436
512,48,1.948,1.750,1.113143,508073564,105600409,1010406,1.988700
512,64,1.686,1.432,1.177374,507807287,105407427,1068772,2.104680
512,80,1.678,1.723,0.973883,507539348,105346029,1054899,2.078458
512,96,1.691,1.707,0.990627,507470277,105301868,1009020,1.988333
512,128,1.689,1.578,1.070342,508571872,105400164,997274,1.960930
512,256,1.638,1.534,1.067797,507200387,105097412,976960,1.926181
512,512,1.688,1.572,1.073791,506986886,105019935,925919,1.826317
512,1024,1.679,1.576,1.065355,507259487,105067695,933293,1.839873
512,2048,1.997,1.603,1.245789,507063890,105021668,922365,1.819031
1024,8,6.565,6.829,0.961341,2050956200,432517677,7339823,3.578732
1024,16,6.532,6.077,1.074872,2037334443,425397710,6066489,2.977660
1024,32,6.578,5.956,1.104433,2029747963,421751025,4896829,2.412531
1024,48,7.010,8.066,0.869080,2026037307,420513192,4349485,2.146794
1024,64,6.509,5.871,1.108670,2024341893,419627182,4360189,2.153880
1024,80,6.653,7.010,0.949073,2021066871,418982843,4177016,2.066738
1024,96,6.506,6.707,0.970031,2021952697,418951553,4173175,2.063933
1024,128,6.583,6.331,1.039804,2022067354,418677936,4122796,2.038901
1024,256,6.512,6.267,1.039094,2019148589,417832010,3937953,1.950304
1024,512,6.513,6.243,1.043248,2019906771,417845523,3882682,1.922209
1024,1024,6.552,6.249,1.048488,2017795669,417407283,3830936,1.898575
1024,2048,6.960,6.479,1.074240,2019033307,417612903,3832828,1.898348
2048,8,26.176,27.254,0.960446,8204651950,1729281882,34185801,4.166636
2048,16,26.062,24.435,1.066585,8141836993,1699715365,28387265,3.486592
2048,32,26.425,24.576,1.075236,8113271911,1685391331,23702963,2.921505
2048,48,26.074,29.576,0.881593,8102663912,1681035701,22369906,2.760809
2048,64,26.106,28.550,0.914396,8093671293,1677252763,21402017,2.644290
2048,80,26.346,27.828,0.946744,8096193676,1677208665,21188048,2.617038
2048,96,26.113,28.538,0.915026,8086499627,1674723226,20794387,2.571494
2048,128,26.093,25.304,1.031181,8090596265,1674393755,20436346,2.525938
2048,256,26.318,25.416,1.035489,8084717033,1672159807,19878517,2.458777
2048,512,26.116,25.195,1.036555,8078700732,1670406066,19780339,2.448455
2048,1024,26.155,25.631,1.020444,8081347011,1670617538,19562900,2.420747
2048,2048,26.230,25.441,1.031013,8079800655,1670268034,21919327,2.712855
